Ref Des,Part No.,Farnell Number,X Loc,Y Loc,Rotation,Side
+1,ADG714BRU,9604367,71.12mm,15.24mm,270,TOP
+2,ADG714BRU,9604367,104.14mm,15.24mm,270,TOP
+3,ADG714BRU,9604367,58.42mm,63.50mm,270,TOP
+4,ADG714BRU,9604367,88.90mm,63.50mm,270,TOP
+5,ADG714BRU,9604367,119.38mm,63.50mm,270,TOP
-1,ADG714BRU,9604367,71.12mm,30.48mm,270,TOP
-2,ADG714BRU,9604367,104.14mm,30.48mm,270,TOP
-3,ADG714BRU,9604367,58.42mm,81.28mm,270,TOP
-4,ADG714BRU,9604367,88.90mm,81.28mm,270,TOP
-5,ADG714BRU,9604367,119.38mm,81.28mm,270,TOP
DIG,22-27-2041..,9731164,144.78mm,20.32mm,90,TOP
ANA,22-27-2041..,9731164,144.78mm,33.02mm,90,TOP
IN+,90120-0761,1756963,144.78mm,73.66mm,0,TOP
IN-,90120-0761,1756963,144.78mm,58.42mm,0,TOP
JOUT,9664516512,1097062,66.04mm,40.64mm,0,TOP
R1,080510k,-,88.90mm,10.16mm,0,TOP
R2,080510k,-,55.88mm,12.70mm,0,TOP
R3,080510k,-,76.20mm,63.50mm,0,TOP
R4,080510k,-,88.90mm,27.94mm,0,TOP
R5,080510k,-,60.96mm,27.94mm,180,TOP
R6,080510k,-,76.20mm,81.28mm,0,TOP
R7,080510k,-,109.22mm,63.50mm,0,TOP
R8,080510k,-,106.68mm,81.28mm,0,TOP
